,Player,Goals_21,ixG_21
438,Nicklas Backstrom,4,4.02
439,Nick Holden,5,3.22
440,Luke Schenn,2,1.79
441,Zack Kassian,3,5.83
442,Nick Leddy,3,2.21
443,Brayden McNabb,1,3.5
444,Chris Wideman,4,1.83
445,Casey Cizikas,9,8.85
446,David Savard,3,3.72
447,Jason Zucker,5,5.85
448,Jaden Schwartz,4,6.09
449,Brendan Gallagher,1,11.9
450,Jamie Oleksiak,0,5.3
451,Radek Faksa,2,8.35
452,Dryden Hunt,5,10.13
453,Carl Grundstrom,8,7.64
454,Nathan Bastian,9,9.07
455,Nicolas Hague,4,4.88
456,Morgan Frost,4,5.88
457,Max Comtois,6,6.46
458,Ryan Poehling,6,7.02
459,Alexandre Texier,7,4.33
460,Martin Fehervary,6,3.5
461,Filip Zadina,6,9.47
462,Nico Sturm,5,7.76
463,Jamie Drysdale,3,6.13
464,Jason Spezza,7,6.37
465,Marc Staal,2,3.27
466,T.J. Oshie,6,4.78
467,Radko Gudas,2,3.49
468,Derek Forbort,4,1.79
469,Riley Sheahan,4,5.49
470,Scott Mayfield,3,3.14
471,Zemgus Girgensons,7,6.88
472,Chris Tierney,3,6.85
473,Ben Hutton,3,2.54
474,Chad Ruhwedel,4,3.12
475,Michael Raffl,6,7.82
476,Tyler Motte,5,7.29
477,Rasmus Ristolainen,2,3.65
478,Ryan Pulock,2,4.23
479,Jakub Vrana,8,4.08
480,Brendan Lemieux,8,7.2
481,Erik Cernak,1,3.25
482,Jansen Harkins,7,6.28
483,Ethan Bear,5,3.65
484,Steven Lorentz,8,10.3
485,Ryan Lindgren,2,3.26
486,Jonathan Dahlen,8,9.42
487,Justin Danforth,10,7.64
488,Zach Aston-Reese,3,6.77
489,Henri Jokiharju,2,1.98
490,Bowen Byram,3,2.11
491,Yegor Chinakhov,6,6.65
492,Zdeno Chara,2,2.7
493,Ryan Reaves,4,4.73
494,Nick Foligno,2,6.67
495,Jake Muzzin,3,2.44
496,Carl Hagelin,2,6.23
497,Alex Chiasson,7,6.76
498,Mark Pysyk,3,3.15
499,Mike Reilly,3,4.53
500,Luke Glendening,9,10.9
501,Jimmy Vesey,5,9.65
502,Nathan Walker,8,4.43
503,Sam Lafferty,5,6.89
504,Jonas Siegenthaler,1,2.69
505,Brandon Carlo,5,3.56
506,Dominik Simon,3,7.17
507,Adam Gaudette,3,5.87
508,Andrew Peeke,0,2.37
509,Logan Stanley,1,3.03
510,Maxim Mamin,5,6.06
511,Mario Ferraro,2,1.96
512,Gustav Lindstrom,1,1.14
513,Parker Kelly,7,4.93
514,Rasmus Sandin,4,2.27
515,Ilya Lyubushkin,1,1.92
516,Andrew Cogliano,2,5.32
517,Darren Helm,6,6.69
518,Trevor Lewis,2,8.13
519,Cal Clutterbuck,3,5.53
520,Nicolas Deslauriers,6,8.52
521,Nick Bjugstad,6,8.22
522,Austin Watson,7,6.89
523,Adam Lowry,8,13.13
524,Andreas Athanasiou,7,5.72
525,Erik Gustafsson,2,2.12
526,Michael McCarron,6,4.95
527,Laurent Dauphin,3,4.73
528,Dysin Mayo,4,2.75
529,Matthew Highmore,4,5.18
530,Niko Mikkola,2,2.29
531,Michael Pezzetta,5,5.31
532,MacKenzie Entwistle,4,3.67
533,Emil Bemstrom,6,4.64
534,Peyton Krebs,7,4.03
535,J.J. Moser,3,1.91
536,Andy Greene,2,2.0
537,Michael Del Zotto,2,0.89
538,Travis Hamonic,4,3.35
539,Connor Murphy,4,2.11
540,Colin Miller,2,1.25
541,Devin Shore,4,3.6
542,Matthew Benning,0,2.11
543,Danny DeKeyser,0,2.28
