,gameId,eventId,eventType,eventTypeDesc,period,periodTime,periodType,teamAwayID,teamHomeID,goalsHome,goalsAway,coX,coY,player1Id,player1Type,player1Name,player2Id,player2Type,player2Name,player3Id,player3Type,player3Name,player4Id,player4Type,player4Name,startDate,periodTimeFull,periodTimeFull_rounded,shot_angle,shot_distance,shot_angle_rad,shot_angle_vis
308308,2021020978,335,Goal,"Alex Ovechkin (39) Snap Shot, assists: Nicklas Backstrom (18)",3,14:56,REGULAR,15,12,3,3,56,27,8471214,Scorer,Alex Ovechkin,8473563,Assist,Nicklas Backstrom,8477293,Goalie,Antti Raanta,0,0,0,2022-03-18,0 days 00:54:56,0 days 00:55:00,39.28940686250036,42.638011210655684,0.6857295109062863,0.8850668158886102
308363,2021020978,390,Goal,Alex Ovechkin - Backhand,5,00:00,SHOOTOUT,15,12,3,3,80,1,8471214,Scorer,Alex Ovechkin,8477293,Goalie,Antti Raanta,0,0,0,0,0,0,2022-03-18,0 days 01:20:00,0 days 01:20:00,6.340191745909909,9.055385138137417,0.11065722117389563,1.460139105621001
313747,2021020995,153,Goal,"Alex Ovechkin (40) Slap Shot, assists: John Carlson (41), Evgeny Kuznetsov (41)",2,04:53,REGULAR,25,15,1,2,51,16,8471214,Scorer,Alex Ovechkin,8474590,Assist,John Carlson,8475744,Assist,Evgeny Kuznetsov,8479979,Goalie,Jake Oettinger,2022-03-20,0 days 00:24:53,0 days 00:25:00,22.83365417791754,41.23105625617661,0.3985224456664202,1.1722738811284763
324181,2021021028,145,Goal,"Alex Ovechkin (41) Slap Shot, assists: Evgeny Kuznetsov (42)",2,16:47,REGULAR,15,7,3,3,51,-3,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8474682,Goalie,Dustin Tokarski,0,0,0,2022-03-25,0 days 00:36:47,0 days 00:37:00,-4.513988458001262,38.118237105091836,-0.0787839609891438,1.6495802877840404
324325,2021021028,289,Goal,Alex Ovechkin - Backhand,5,00:00,SHOOTOUT,15,7,3,3,-80,-4,8471214,Scorer,Alex Ovechkin,8474682,Goalie,Dustin Tokarski,0,0,0,0,0,0,2022-03-25,0 days 01:20:00,0 days 01:20:00,-1.3558599761066599,169.04733065032408,-0.02366422077907286,1.5944605475739695
327490,2021021038,275,Goal,"Alex Ovechkin (42) Snap Shot, assists: Evgeny Kuznetsov (43), Nicklas Backstrom (20)",3,11:48,REGULAR,1,15,4,2,-81,-7,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8473563,Assist,Nicklas Backstrom,8482076,Goalie,Nico Daws,2022-03-26,0 days 00:51:48,0 days 00:52:00,-2.3579059707169034,170.14405661086138,-0.041153222641442964,1.6119495494363396
345868,2021021095,268,Goal,"Alex Ovechkin (30) Slap Shot, assists: John Carlson (29), Tom Wilson (19)",3,04:33,REGULAR,15,18,1,3,-58,-27,8471214,Scorer,Alex Ovechkin,8474590,Assist,John Carlson,8476880,Assist,Tom Wilson,8477424,Goalie,Juuse Saros,2022-02-16,0 days 00:44:33,0 days 00:45:00,-10.407711312490058,149.4590244849738,-0.18164883000001195,1.7524451567949084
345926,2021021095,326,Goal,"Alex Ovechkin (31) Wrist Shot, assists: none",3,18:37,REGULAR,15,18,1,4,57,3,8471214,Scorer,Alex Ovechkin,0,0,0,0,0,0,0,0,0,2022-02-16,0 days 00:58:37,0 days 00:59:00,5.35582504285519,32.14031735997639,0.09347678115858947,1.477319545636307
354652,2021021123,91,Goal,"Alex Ovechkin (43) Snap Shot, assists: John Carlson (46), Evgeny Kuznetsov (46)",1,15:10,REGULAR,14,15,3,1,-73,4,8471214,Scorer,Alex Ovechkin,8474590,Assist,John Carlson,8475744,Assist,Evgeny Kuznetsov,8476883,Goalie,Andrei Vasilevskiy,2022-04-06,0 days 00:15:10,0 days 00:15:00,1.414423211402155,162.04937519163718,0.024686342055599407,1.5461099847392972
361872,2021021146,179,Goal,"Alex Ovechkin (44) Slap Shot, assists: John Carlson (47), Nicklas Backstrom (22)",2,04:49,REGULAR,15,5,3,3,56,19,8471214,Scorer,Alex Ovechkin,8474590,Assist,John Carlson,8473563,Assist,Nicklas Backstrom,8477465,Goalie,Tristan Jarry,2022-04-09,0 days 00:24:49,0 days 00:25:00,29.931511840507792,38.07886552931954,0.5224034317165288,1.0483928950783676
365984,2021021158,380,Goal,"Alex Ovechkin (45) Wrist Shot, assists: Evgeny Kuznetsov (47), John Carlson (49)",3,19:58,REGULAR,6,15,4,2,-70,0,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8474590,Assist,John Carlson,0,0,0,2022-04-10,0 days 00:59:58,0 days 01:00:00,0.0,159.0,0.0,1.5707963267948966
369633,2021021170,32,Goal,"Alex Ovechkin (46) Backhand, assists: Conor Sheary (21), Evgeny Kuznetsov (48)",1,06:01,REGULAR,4,15,1,0,-89,-11,8471214,Scorer,Alex Ovechkin,8477839,Assist,Conor Sheary,8475744,Assist,Evgeny Kuznetsov,8479394,Goalie,Carter Hart,2022-04-12,0 days 00:06:01,0 days 00:06:00,-3.5362533885217107,178.33956375409244,-0.06171926481451011,1.6325155916094067
378477,2021021198,230,Goal,"Alex Ovechkin (47) Wrist Shot, assists: Evgeny Kuznetsov (50)",2,15:36,REGULAR,15,8,2,4,-72,-5,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8478470,Goalie,Sam Montembeault,0,0,0,2022-04-16,0 days 00:35:36,0 days 00:36:00,-1.7788003156738479,161.07762104029226,-0.031045922244023142,1.6018422490389197
384180,2021021216,182,Goal,"Alex Ovechkin (48) Wrist Shot, assists: Evgeny Kuznetsov (52), John Carlson (53)",2,13:27,REGULAR,15,21,1,2,-79,-8,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8474590,Assist,John Carlson,8475311,Goalie,Darcy Kuemper,2022-04-19,0 days 00:33:27,0 days 00:33:00,-2.7263109939062655,168.1903683330291,-0.047583103276983396,1.61837943007188
389021,2021021231,132,Goal,"Alex Ovechkin (49) Snap Shot, assists: Evgeny Kuznetsov (53), Marcus Johansson (19)",2,02:57,REGULAR,15,54,1,2,-62,-26,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8475149,Assist,Marcus Johansson,8480313,Goalie,Logan Thompson,2022-04-21,0 days 00:22:57,0 days 00:23:00,-9.769700050531238,153.22206107476822,-0.1705134328140265,1.741309759608923
389183,2021021231,294,Goal,"Alex Ovechkin (50) Slap Shot, assists: Dmitry Orlov (23), Nicklas Backstrom (24)",3,13:36,REGULAR,15,54,3,3,52,-23,8471214,Scorer,Alex Ovechkin,8475200,Assist,Dmitry Orlov,8473563,Assist,Nicklas Backstrom,8480313,Goalie,Logan Thompson,2022-04-21,0 days 00:53:36,0 days 00:54:00,-31.86597769360368,43.56604182158393,-0.556166230120453,2.1269625569153496
