"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"311","Vladislav Namestnikov","DET","C","53","683.3","3","8","3","5","11","61.11","70","4.29","6.42","104","91","64","36","7","8","22","11","11","0","0","9","8","12","70","65","28","112","178","38.62"
"338","Teuvo Teravainen","CAR","L","21","269.36666666667","5","6","3","3","11","64.71","40","12.50","3.57","66","50","36","14","0","2","4","2","2","0","0","2","10","7","8","14","8","8","6","57.14"
"339","Jacob Trouba","NYR","D","38","652.51666666667","2","9","4","5","11","44.00","58","3.45","2.72","122","79","33","9","3","9","22","11","11","0","0","7","19","11","102","42","64","0","0","-"
"342","Mikhail Grigorenko","CBJ","C","32","407.45","4","7","5","2","11","64.71","33","12.12","3.59","65","50","36","17","0","3","6","3","3","0","0","3","8","10","14","30","17","8","15","34.78"
"343","Radek Faksa","DAL","C","55","731.73333333333","4","7","4","3","11","61.11","81","4.94","6.84","126","100","71","41","3","14","28","13","13","0","0","4","16","12","95","74","32","327","262","55.52"
"352","Jujhar Khaira","EDM","L","40","394.23333333333","3","8","3","5","11","84.62","33","9.09","3.21","64","51","40","18","5","4","42","11","6","4","1","8","9","4","145","40","17","148","166","47.13"
"356","Jordan Martinook","CAR","L","44","492.96666666667","3","8","5","3","11","68.75","55","5.45","5","86","73","45","29","4","5","25","11","10","1","0","8","9","11","90","61","15","65","61","51.59"
"362","Brock McGinn","CAR","L","37","459.3","7","4","2","2","11","64.71","51","13.73","4.85","93","73","53","25","1","3","4","2","2","0","0","8","9","10","41","43","9","3","7","30.00"
"389","Michael Raffl","PHI, WSH","L","44","516.76666666667","4","7","5","2","11","73.33","42","9.52","3.68","66","57","37","20","0","5","31","10","8","1","1","7","8","9","64","54","21","29","21","58.00"
"435","Zach Sanford","STL","L","52","629.55","6","5","2","3","11","61.11","51","11.76","5.84","104","81","73","35","5","8","21","9","8","1","0","9","9","10","69","59","36","24","34","41.38"
"497","Brendan Lemieux","L.A, NYR","L","49","461.71666666667","4","7","5","2","11","84.62","49","8.16","3.99","90","65","42","20","4","4","52","16","11","4","1","23","13","7","107","38","26","5","18","21.74"
"542","Noah Hanifin","CGY","D","47","840.53333333333","4","7","6","1","11","36.67","80","5.00","3.79","186","127","55","10","6","10","16","8","8","0","0","6","31","17","27","56","39","0","0","-"
