,Player,Goals_18,ixG_18,Goals_19,ixG_19
225,Ivan Barbashev,11,6.9,7.0,8.21
226,Jordan Greenway,11,9.75,8.0,6.77
227,Clayton Keller,13,12.11,14.0,12.3
228,Jesper Bratt,6,5.92,14.0,7.11
229,Robert Thomas,5,5.95,9.0,7.12
230,Patrick Marleau,11,12.22,9.0,10.03
231,Thomas Vanek,10,6.66,,
232,Loui Eriksson,8,8.79,4.0,4.95
233,Paul Byron,11,8.31,3.0,3.13
234,Zack Smith,7,8.7,3.0,2.88
235,TJ Brodie,4,4.23,3.0,2.09
236,David Savard,7,5.81,0.0,2.85
237,Tyler Toffoli,6,15.85,16.0,14.72
238,Rickard Rakell,9,11.38,11.0,14.12
239,Mark Jankowski,8,8.47,5.0,4.53
240,Radek Faksa,10,11.61,8.0,9.44
241,Colton Sissons,10,10.48,8.0,4.74
242,Connor Brown,6,7.87,13.0,12.15
243,Alexander Kerfoot,9,8.84,8.0,9.08
244,Pavel Buchnevich,11,9.27,11.0,11.08
245,Andrew Copp,9,9.57,9.0,8.24
246,Ryan Pulock,3,6.02,5.0,4.13
247,Aaron Ekblad,7,5.53,4.0,5.63
248,Michal Kempny,6,3.49,3.0,3.04
249,Miro Heiskanen,8,6.89,3.0,6.13
250,Rasmus Dahlin,4,5.0,2.0,2.22
251,Ilya Kovalchuk,9,7.64,6.0,6.7
252,Braydon Coburn,3,4.35,1.0,1.53
253,Marc-Edouard Vlasic,3,3.81,3.0,2.53
254,Jordan Staal,9,10.7,6.0,12.29
255,Matt Calvert,9,9.97,8.0,7.22
256,Victor Hedman,8,7.1,7.0,5.71
257,Nic Dowd,8,5.38,4.0,3.88
258,Brenden Dillon,0,2.79,1.0,1.92
259,Justin Faulk,4,5.91,4.0,5.42
260,Taylor Hall,7,7.12,9.0,13.34
261,Nick Cousins,6,11.48,7.0,9.13
262,Cody Ceci,6,4.56,1.0,2.34
263,Devin Shore,6,7.01,5.0,4.11
264,Jordan Martinook,12,17.38,2.0,4.74
265,Brock McGinn,7,12.65,5.0,7.99
266,Mattias Janmark,6,8.91,3.0,6.07
267,Shea Theodore,6,5.25,9.0,7.74
268,Rasmus Ristolainen,3,4.79,4.0,2.95
269,Sam Bennett,9,11.01,8.0,7.43
270,William Nylander,6,10.58,19.0,15.2
271,Nick Ritchie,6,7.71,7.0,7.76
272,Adrian Kempe,10,7.09,4.0,8.31
273,Austin Wagner,12,7.43,5.0,12.77
274,Ivan Provorov,7,6.01,5.0,4.67
275,Evan Rodrigues,7,7.96,4.0,5.2
276,Charlie McAvoy,5,4.25,2.0,3.8
277,Brett Howden,6,7.41,7.0,7.04
278,Tyson Jost,7,8.21,7.0,8.56
279,Alex Pietrangelo,6,4.88,8.0,6.69
280,Colin Wilson,7,7.17,0.0,1.06
281,Jake Gardiner,3,2.78,2.0,2.52
282,Jordie Benn,3,2.49,1.0,1.3
283,Alex Chiasson,12,9.8,5.0,6.5
284,Luke Glendening,9,10.2,3.0,6.37
285,Adam Pelech,5,4.56,1.0,1.81
286,Miles Wood,8,10.98,9.0,10.32
287,J.T. Compher,9,8.38,9.0,7.02
288,Lawson Crouse,8,10.76,10.0,8.78
289,Drake Caggiula,10,8.34,8.0,5.62
290,Brad Richardson,14,8.9,5.0,7.46
291,Troy Brouwer,10,6.91,1.0,1.23
292,Matt Niskanen,6,3.93,2.0,3.07
293,Erik Johnson,5,5.35,2.0,3.88
294,Carl Hagelin,5,8.52,6.0,8.16
295,Tyler Myers,7,6.23,4.0,5.13
296,Kyle Clifford,9,11.08,7.0,9.34
297,Brian Dumoulin,3,3.64,0.0,1.42
298,Oscar Lindberg,9,8.2,,
299,Nick Bjugstad,11,12.27,1.0,1.3
300,John Klingberg,4,4.14,3.0,3.85
301,Brian Gibbons,8,5.1,0.0,0.74
302,Matt Nieto,3,6.36,6.0,7.68
303,Ryan Strome,9,8.58,10.0,11.41
304,Brady Skjei,6,5.33,7.0,4.97
305,Tanner Pearson,15,11.71,11.0,11.7
306,Brendan Leipsic,6,6.34,3.0,4.67
307,Esa Lindell,4,4.49,1.0,2.75
308,Jaccob Slavin,2,4.16,5.0,4.58
309,Jake Virtanen,11,9.33,11.0,11.26
310,Troy Stecher,1,3.16,5.0,2.68
311,Alexander Steen,7,7.31,6.0,6.07
312,Mike Green,4,3.0,2.0,2.22
313,Blake Comeau,7,8.66,7.0,4.94
314,Keith Yandle,2,4.39,2.0,2.42
315,Wayne Simmonds,10,10.82,3.0,7.49
316,Oliver Ekman-Larsson,5,5.79,5.0,4.15
317,Ben Chiarot,4,3.68,7.0,4.97
318,Nick Jensen,2,3.77,0.0,2.44
319,Calle Jarnkrok,7,8.34,9.0,9.26
320,Kenny Agostino,6,6.2,,
321,Jesper Fast,8,10.71,10.0,10.72
322,Travis Boyd,5,3.94,3.0,2.16
323,Adam Lowry,10,11.56,2.0,4.93
324,Alex Galchenyuk,9,9.99,6.0,6.1
325,Shayne Gostisbehere,4,4.63,2.0,1.83
326,Carter Rowney,5,5.31,5.0,5.75
327,Jason Dickinson,3,7.95,9.0,7.1
328,Robert Hagg,4,4.36,2.0,1.47
329,Brett Pesce,6,3.73,4.0,4.01
330,Tony DeAngelo,4,3.4,9.0,5.28
331,Markus Nutivaara,5,4.54,2.0,2.06
332,Ron Hainsey,3,2.16,1.0,1.43
333,Ryan Reaves,6,9.61,8.0,7.59
334,Kyle Okposo,7,8.19,8.0,6.64
335,Kevin Shattenkirk,1,4.27,7.0,3.96
336,P.K. Subban,6,3.55,4.0,3.3
337,Radko Gudas,3,3.62,2.0,2.48
338,Josh Archibald,9,7.87,7.0,5.67
339,Dylan DeMelo,4,2.93,0.0,2.0
340,Sean Kuraly,5,7.45,6.0,6.02
341,Josh Leivo,11,9.98,7.0,6.11
342,Adam Larsson,3,3.75,1.0,2.28
343,Vladislav Namestnikov,7,9.3,8.0,7.98
344,Torey Krug,3,3.7,4.0,3.52
345,Pontus Aberg,9,6.76,0.0,0.2
346,Mike Matheson,6,4.17,7.0,3.82
347,Danny DeKeyser,4,2.69,0.0,0.41
348,Adam Erne,5,5.9,2.0,4.51
349,Zach Sanford,8,8.07,14.0,9.28
350,Garnet Hathaway,9,7.16,8.0,9.9
351,Brendan Lemieux,12,6.01,3.0,7.28
352,Lucas Wallmark,7,12.71,9.0,7.03
353,Christian Fischer,11,9.23,5.0,6.65
354,Jack Roslovic,4,4.57,10.0,8.59
355,Daniel Sprong,11,8.62,0.0,0.83
356,Samuel Girard,4,4.06,3.0,3.13
357,David Kampf,4,6.05,7.0,8.47
358,Pat Maroon,8,8.85,8.0,7.39
359,Drew Doughty,0,4.1,1.0,2.68
360,Zach Bogosian,2,2.58,1.0,1.11
361,Marcus Johansson,9,8.06,6.0,5.34
362,Riley Sheahan,7,10.27,5.0,6.45
363,Chris Wagner,10,12.43,5.0,7.58
364,Vincent Trocheck,5,8.3,7.0,9.46
365,Scott Mayfield,3,4.69,4.0,3.47
366,Scott Harrington,2,3.12,1.0,1.51
367,Hampus Lindholm,1,3.99,1.0,2.58
368,Zemgus Girgensons,5,7.61,9.0,6.73
369,Josh Morrissey,1,3.68,4.0,3.26
370,Brendan Perlini,11,9.59,1.0,3.9
371,Nikolay Goldobin,6,7.23,0.0,0.0
372,Marcus Pettersson,1,3.07,2.0,2.72
373,Luke Kunin,6,6.14,12.0,10.23
374,Matt Cullen,5,6.19,,
375,Jay Bouwmeester,3,3.28,1.0,1.57
376,Johnny Boychuk,2,4.52,1.0,3.04
377,Jeff Carter,7,10.79,13.0,12.21
378,Brent Seabrook,3,5.41,2.0,1.27
379,Alex Goligoski,1,2.89,2.0,2.63
380,Andrew Cogliano,5,10.01,3.0,6.23
381,Anton Stralman,2,1.91,4.0,3.78
382,Alex Biega,2,2.86,0.0,2.12
383,Milan Lucic,4,8.26,3.0,5.26
384,Cal Clutterbuck,3,8.57,2.0,2.5
385,Justin Braun,2,3.18,2.0,1.76
386,Travis Hamonic,6,4.47,2.0,2.86
387,Magnus Paajarvi,8,8.5,,
388,Nick Leddy,4,4.16,2.0,3.19
389,Marcus Foligno,7,8.33,11.0,8.59
390,Markus Granlund,8,8.1,3.0,2.6
391,Jonas Brodin,3,3.52,2.0,2.98
392,Colton Parayko,5,5.08,6.0,5.02
393,Jujhar Khaira,2,5.2,6.0,6.05
394,Brett Kulak,5,3.98,0.0,2.6
395,Cedric Paquette,11,8.57,4.0,7.2
396,Michael Raffl,4,6.01,6.0,5.81
397,Sven Andrighetto,6,5.9,,
398,Alexander Wennberg,0,4.8,4.0,3.85
399,Tomas Nosek,7,10.61,7.0,9.81
400,Ryan Donato,6,8.34,14.0,8.81
401,Warren Foegele,10,12.21,10.0,13.44
402,Ondrej Kase,10,7.58,5.0,8.76
403,Rasmus Andersson,1,2.51,4.0,3.67
404,Erik Cernak,4,3.52,4.0,4.17
405,Denis Malgin,7,4.99,2.0,4.06
406,Zach Aston-Reese,6,5.5,4.0,7.34
407,Casey Mittelstadt,9,7.46,3.0,2.17
408,Niklas Kronwall,2,2.01,,
409,Jason Spezza,6,7.27,7.0,6.02
410,Ryan Callahan,5,6.18,,
411,Justin Abdelkader,3,7.98,0.0,2.69
412,Kris Russell,3,2.69,0.0,1.52
413,Andy Greene,3,4.21,2.0,2.46
414,Derick Brassard,9,7.06,6.0,6.84
415,Calvin de Haan,1,4.62,1.0,0.94
416,Brayden McNabb,3,2.64,1.0,2.67
417,Jon Merrill,2,2.62,2.0,1.77
418,Derek Forbort,2,2.36,0.0,0.7
419,Josh Manson,3,3.7,1.0,2.35
420,MacKenzie Weegar,4,2.85,6.0,3.93
421,Will Butcher,3,3.87,3.0,2.5
422,Nikita Zadorov,7,3.82,4.0,3.04
423,Frederik Gauthier,3,4.14,7.0,3.89
424,Trevor van Riemsdyk,3,4.07,1.0,1.44
425,Pavel Zacha,7,6.45,3.0,4.76
426,Travis Dermott,4,3.58,4.0,2.15
427,Joel Eriksson Ek,7,10.91,7.0,7.98
428,Austin Czarnik,5,5.63,1.0,0.28
429,Noel Acciari,6,9.64,19.0,11.31
430,Filip Hronek,4,2.48,4.0,2.72
431,Filip Chytil,6,12.23,13.0,9.17
432,Mikko Koivu,4,5.23,3.0,6.11
433,Marc Staal,3,3.23,2.0,1.62
434,James Neal,5,8.61,5.0,6.52
435,Darren Helm,6,7.13,8.0,7.03
436,Kyle Turris,2,4.47,7.0,5.84
437,Colton Sceviour,4,7.9,6.0,7.26
438,Alec Martinez,4,3.02,3.0,2.16
439,Nick Holden,3,3.36,4.0,3.1
440,Tyler Ennis,10,5.64,11.0,13.63
441,Derek Grant,4,4.81,7.0,6.91
442,Matt Martin,5,5.77,5.0,5.48
443,Johan Larsson,5,6.07,5.0,5.79
444,Rocco Grimaldi,5,6.41,10.0,10.21
445,Joel Armia,7,8.63,10.0,11.22
446,Connor Murphy,5,2.63,3.0,3.28
447,Colin Miller,1,3.12,0.0,2.0
448,Barclay Goodrow,6,6.71,8.0,9.85
449,Matthew Benning,3,3.02,1.0,1.34
450,Nate Schmidt,4,3.33,4.0,4.07
451,Ryan Carpenter,3,8.52,2.0,8.64
452,Melker Karlsson,9,6.4,5.0,4.81
453,Devon Toews,3,3.24,3.0,3.88
454,Andrew Mangiapane,8,6.14,15.0,12.31
455,Roope Hintz,5,6.84,12.0,9.64
456,Par Lindholm,1,5.85,3.0,2.65
457,David Backes,5,7.53,0.0,2.53
458,Alexander Edler,4,2.57,3.0,2.02
459,Dan Girardi,3,3.55,,
460,Trevor Lewis,3,6.06,6.0,8.4
461,Ian Cole,1,2.92,4.0,3.67
462,Marco Scandella,6,2.56,4.0,2.72
463,Brandon Pirri,9,6.11,0.0,1.93
464,Jordan Weal,4,5.65,6.0,6.08
465,Cam Fowler,2,2.66,7.0,2.82
466,Austin Watson,4,5.06,6.0,4.25
467,Jean-Gabriel Pageau,4,5.94,15.0,9.9
468,Jamie Oleksiak,4,2.32,3.0,3.11
469,Oscar Klefbom,1,5.25,3.0,4.03
470,Jake McCabe,3,2.8,2.0,1.93
471,Tyler Motte,6,9.13,4.0,2.67
472,Jordan Oesterle,3,2.66,3.0,2.43
473,Conor Garland,9,6.28,16.0,9.97
474,Brett Seney,5,4.31,0.0,0.14
475,Nikita Zaitsev,3,2.36,0.0,2.27
476,Brian Boyle,9,7.2,5.0,4.9
